Date,Close/Last,Volume,Open,High,Low
08/21/2023,$408.29,3861579,$402.23,$409.61,$399.50
08/18/2023,$404.53,4312196,$399.33,$406.52,$398.15
08/17/2023,$403.00,6031469,$415.00,$415.24,$401.5818
08/16/2023,$415.45,3967021,$423.73,$424.51,$415.25
08/15/2023,$423.70,3367998,$424.41,$429.12,$421.04
08/14/2023,$427.78,3965963,$421.99,$428.845,$418.78
08/11/2023,$421.66,3927914,$428.98,$430.6317,$421.3277
08/10/2023,$429.98,5467607,$431.12,$438.12,$428.69
08/09/2023,$428.90,3846639,$439.74,$440.62,$427.59
08/08/2023,$438.30,3767195,$440.36,$443.57,$435.10
08/07/2023,$440.76,4781303,$436.455,$441.11,$428.9057
08/04/2023,$431.60,5441811,$433.06,$436.50,$426.27
08/03/2023,$431.00,6259309,$427.80,$441.93,$427.19
08/02/2023,$429.70,4921781,$435.23,$435.56,$426.56
08/01/2023,$438.62,5725544,$437.37,$445.2499,$431.40
07/31/2023,$438.97,6587619,$426.51,$439.13,$426.30
07/28/2023,$425.78,6428073,$415.56,$427.47,$413.76
07/27/2023,$413.17,6594466,$426.90,$427.52,$411.88
07/26/2023,$422.67,6009242,$424.20,$425.26,$415.59
07/25/2023,$427.70,4859843,$427.18,$430.8799,$426.13
07/24/2023,$428.37,8282434,$425.00,$428.64,$419.19
07/21/2023,$427.50,17340030,$437.37,$438.24,$423.19
07/20/2023,$437.42,23989710,$447.00,$448.50,$432.00
07/19/2023,$477.59,20996480,$476.86,$485.00,$470.00
07/18/2023,$474.80,13196880,$451.00,$478.15,$448.78
07/17/2023,$450.05,6901141,$445.57,$456.68,$445.1053
07/14/2023,$441.91,7195860,$452.785,$456.48,$439.70
07/13/2023,$450.38,6157475,$447.00,$451.67,$441.177
07/12/2023,$444.05,5731657,$444.55,$445.4085,$437.7494
07/11/2023,$440.21,4574559,$438.65,$440.80,$431.0415
07/10/2023,$441.71,4251737,$438.52,$444.41,$436.82
07/07/2023,$438.10,4165144,$438.60,$442.325,$435.8354
07/06/2023,$438.84,4944892,$440.00,$442.7999,$430.72
07/05/2023,$445.90,6875414,$444.91,$450.97,$439.6244
07/03/2023,$441.44,3728461,$439.76,$441.545,$431.62
06/30/2023,$440.49,7346394,$431.10,$444.12,$431.10
06/29/2023,$428.24,4932310,$434.33,$437.85,$426.15
06/28/2023,$429.84,8811342,$423.10,$437.2915,$422.89
06/27/2023,$417.08,4818066,$417.39,$420.8789,$411.50
06/26/2023,$415.94,4640022,$422.435,$430.9599,$414.90
06/23/2023,$424.02,8298600,$418.59,$425.82,$417.73
06/22/2023,$422.48,4872246,$422.93,$424.71,$418.6801
06/21/2023,$424.45,5146441,$432.65,$434.55,$422.54
06/20/2023,$434.70,4762313,$430.18,$440.00,$430.00
06/16/2023,$431.96,8753740,$446.15,$447.51,$430.90
06/15/2023,$445.27,7099915,$444.10,$448.65,$439.50
06/14/2023,$440.86,8413089,$434.99,$447.33,$433.50
06/13/2023,$435.73,7820535,$430.01,$437.27,$428.40
06/12/2023,$423.97,5967712,$418.83,$424.70,$416.5669
06/09/2023,$420.02,12372830,$424.50,$425.90,$414.76
06/08/2023,$409.37,5991087,$399.77,$409.54,$396.34
06/07/2023,$399.77,11932390,$410.43,$418.95,$399.23
06/06/2023,$399.29,4991532,$405.00,$405.12,$396.93
06/05/2023,$403.54,7247413,$400.47,$413.86,$400.15
06/02/2023,$400.47,5902381,$402.89,$406.58,$395.90
06/01/2023,$403.13,7160145,$397.41,$407.52,$393.08
05/31/2023,$395.23,6988047,$391.89,$396.26,$388.91
05/30/2023,$392.98,10864990,$397.48,$405.11,$385.79
05/26/2023,$378.88,9360436,$361.10,$383.76,$356.00
05/25/2023,$359.00,6263105,$359.61,$367.4499,$357.42
05/24/2023,$364.85,7973316,$356.93,$367.151,$356.625
05/23/2023,$355.99,6866078,$360.24,$364.17,$354.31
05/22/2023,$363.01,5406420,$365.36,$372.01,$362.50
05/19/2023,$365.36,7859703,$369.86,$369.99,$363.81
05/18/2023,$371.29,20925240,$347.25,$375.87,$346.37
05/17/2023,$339.96,3958807,$331.76,$341.38,$329.615
05/16/2023,$333.75,3334863,$334.00,$335.17,$331.91
05/15/2023,$335.89,3652970,$340.62,$341.90,$335.54
05/12/2023,$339.89,6082360,$344.76,$348.1664,$337.3637
05/11/2023,$344.76,8033531,$334.98,$345.47,$331.84
05/10/2023,$335.42,4289897,$335.21,$337.11,$329.51
05/09/2023,$332.14,5544852,$330.67,$336.32,$329.7401
05/08/2023,$331.21,5488593,$322.99,$332.56,$322.03
05/05/2023,$322.76,3990637,$323.61,$324.15,$319.4401
05/04/2023,$320.78,3879657,$319.01,$323.61,$317.95
05/03/2023,$319.30,5064057,$317.55,$324.62,$315.85
05/02/2023,$317.55,4318612,$325.00,$326.07,$315.62
05/01/2023,$324.12,5341484,$329.435,$331.23,$318.09
04/28/2023,$329.93,4228374,$325.24,$330.8077,$324.00
04/27/2023,$325.85,5618768,$324.30,$327.45,$317.44
04/26/2023,$321.15,4623238,$321.36,$325.90,$320.47
04/25/2023,$322.55,5426642,$328.50,$328.655,$321.10
04/24/2023,$329.02,5586627,$330.20,$334.66,$326.75
04/21/2023,$327.98,6348000,$323.00,$328.29,$319.50
04/20/2023,$325.35,9947800,$320.39,$331.4298,$318.33
04/19/2023,$323.12,22128270,$324.21,$325.75,$316.10
04/18/2023,$333.70,17944500,$335.00,$337.19,$330.50
04/17/2023,$332.72,6136047,$338.00,$338.39,$327.50
04/14/2023,$338.63,5350508,$342.94,$344.853,$336.41
04/13/2023,$346.19,7406437,$339.99,$346.43,$338.75
04/12/2023,$331.03,3965440,$340.81,$342.80,$330.04
04/11/2023,$338.21,4044778,$343.45,$347.14,$337.635
04/10/2023,$338.99,2657898,$335.27,$339.88,$333.36
04/06/2023,$339.33,4660542,$339.34,$340.48,$332.63
04/05/2023,$342.35,4205545,$345.30,$345.43,$336.2526
04/04/2023,$346.75,3298072,$348.49,$349.80,$343.95
04/03/2023,$348.28,4413650,$341.83,$348.58,$340.4001
03/31/2023,$345.48,5610161,$340.05,$345.84,$337.2001
03/30/2023,$338.43,7131468,$340.27,$343.29,$335.30
03/29/2023,$332.03,6287336,$326.29,$332.85,$325.73
03/28/2023,$323.52,6489388,$326.06,$333.32,$321.28
03/27/2023,$327.66,8625763,$327.55,$336.44,$324.41
03/24/2023,$328.39,13004090,$320.63,$331.83,$320.63
03/23/2023,$320.37,15653350,$304.68,$322.78,$304.14
03/22/2023,$293.90,5808035,$306.31,$306.45,$293.54
03/21/2023,$305.79,4886279,$306.32,$307.92,$300.43
03/20/2023,$305.13,5113430,$299.79,$307.50,$296.00
03/17/2023,$303.50,6918777,$310.06,$310.76,$300.00
03/16/2023,$310.06,7912371,$304.75,$316.60,$301.71
03/15/2023,$303.79,9215340,$292.51,$306.31,$292.28
03/14/2023,$294.94,5956692,$295.97,$297.45,$290.31
03/13/2023,$293.51,6292385,$287.34,$299.24,$285.3301
03/10/2023,$292.76,5759315,$297.905,$298.79,$289.00
03/09/2023,$297.78,7443350,$312.08,$312.51,$294.88
03/08/2023,$311.79,3479474,$309.29,$311.83,$305.75
03/07/2023,$308.47,4553082,$312.675,$314.30,$306.6226
03/06/2023,$312.03,5660743,$317.00,$323.30,$311.8412
03/03/2023,$315.18,5953319,$315.45,$317.49,$310.82
03/02/2023,$311.88,4921053,$310.96,$315.57,$310.38
03/01/2023,$313.48,4911311,$321.55,$326.60,$312.36
02/28/2023,$322.13,3676075,$323.70,$327.62,$321.17
02/27/2023,$323.03,6142580,$323.87,$330.00,$322.121
02/24/2023,$317.15,6830692,$319.30,$321.50,$314.52
02/23/2023,$323.65,13238670,$331.23,$331.28,$314.30
02/22/2023,$334.88,4546249,$337.50,$341.91,$332.82
02/21/2023,$337.50,5710292,$342.85,$344.1253,$336.4177
02/17/2023,$347.96,5294727,$347.905,$349.00,$342.44
02/16/2023,$350.71,5215726,$355.00,$361.50,$350.31
02/15/2023,$361.42,3969945,$356.63,$362.88,$354.24
02/14/2023,$359.96,4624758,$357.55,$363.75,$353.40
02/13/2023,$358.57,7134445,$349.50,$359.7034,$344.25
02/10/2023,$347.36,7291096,$359.16,$362.14,$347.14
02/09/2023,$362.50,6901100,$372.41,$373.83,$361.7444
02/08/2023,$366.83,6253179,$360.02,$368.193,$358.31
02/07/2023,$362.95,6289368,$358.51,$364.1799,$354.18
02/06/2023,$361.48,4994942,$363.642,$368.45,$360.68
02/03/2023,$365.90,9402034,$359.08,$379.4301,$359.00
02/02/2023,$366.89,7856952,$365.16,$368.32,$358.43
02/01/2023,$361.99,8005170,$353.86,$365.385,$349.91
01/31/2023,$353.86,5660738,$349.98,$355.95,$348.71
01/30/2023,$353.11,5127593,$358.44,$360.95,$352.855
01/27/2023,$360.77,6703548,$363.20,$365.92,$360.59
01/26/2023,$364.87,8256844,$368.77,$369.02,$361.70
01/25/2023,$367.96,7766907,$360.57,$368.8999,$358.501
01/24/2023,$363.83,11796530,$357.53,$365.65,$355.1401
01/23/2023,$357.42,15646850,$341.715,$362.2453,$340.6329
01/20/2023,$342.50,28430340,$336.79,$344.00,$332.625
01/19/2023,$315.78,18008200,$322.57,$324.89,$313.39
01/18/2023,$326.33,7814115,$326.75,$330.08,$321.25
01/17/2023,$326.22,9246987,$331.08,$332.50,$323.60
01/13/2023,$332.82,8286816,$329.97,$336.65,$328.885
01/12/2023,$330.13,10856250,$332.50,$332.95,$323.14
01/11/2023,$327.26,9579681,$326.50,$328.88,$321.35
01/10/2023,$327.54,13072290,$311.07,$329.35,$311.07
01/09/2023,$315.17,6766628,$316.83,$321.70,$313.22
01/06/2023,$315.55,8959839,$311.57,$316.77,$303.69
01/05/2023,$309.70,8328390,$307.00,$314.18,$304.545
01/04/2023,$309.41,9345054,$298.24,$311.135,$295.51
01/03/2023,$294.95,6763964,$298.06,$298.39,$288.70
12/30/2022,$294.88,7566892,$285.53,$295.01,$283.22
12/29/2022,$291.12,9588527,$283.18,$295.4999,$281.01
12/28/2022,$276.88,5964369,$281.92,$285.19,$273.41
12/27/2022,$284.17,5778098,$293.19,$293.57,$282.13
12/23/2022,$294.965,4251108,$296.18,$298.4614,$291.91
12/22/2022,$297.75,7856192,$298.09,$298.88,$290.8131
12/21/2022,$297.96,6376173,$289.99,$300.66,$286.50
12/20/2022,$288.19,6918114,$281.24,$289.28,$280.81
12/19/2022,$288.30,6163667,$289.73,$292.25,$286.13
12/16/2022,$290.71,14080050,$288.76,$294.7199,$288.70
12/15/2022,$290.41,17724560,$302.12,$303.39,$286.55
12/14/2022,$317.83,7543291,$318.97,$324.71,$314.42
12/13/2022,$320.34,10756430,$328.00,$332.7236,$317.199
12/12/2022,$315.18,10148610,$320.00,$323.18,$308.85
12/09/2022,$320.01,14364030,$321.45,$329.00,$319.52
12/08/2022,$310.26,7205326,$309.11,$312.38,$304.8098
12/07/2022,$308.42,7821634,$306.50,$309.61,$302.10
12/06/2022,$305.56,7195395,$311.00,$313.2231,$303.13
12/05/2022,$312.59,8423029,$316.46,$322.77,$310.92
12/02/2022,$320.41,12690600,$310.49,$321.99,$310.00
12/01/2022,$316.95,14664870,$303.99,$319.80,$303.03
11/30/2022,$305.53,16070120,$281.37,$308.26,$280.41
11/29/2022,$280.96,5786874,$282.50,$282.96,$275.94
11/28/2022,$281.17,4707049,$284.00,$289.55,$280.53
11/25/2022,$285.54,3235953,$289.00,$289.21,$284.17
11/23/2022,$291.50,5918988,$285.91,$292.47,$283.76
11/22/2022,$286.69,6245119,$284.99,$286.98,$277.34
11/21/2022,$285.05,7256507,$291.00,$291.87,$282.66
11/18/2022,$287.98,8400108,$297.33,$298.00,$287.00
11/17/2022,$295.28,9838220,$294.72,$299.82,$291.00
11/16/2022,$306.02,8038556,$309.94,$310.49,$303.61
11/15/2022,$310.20,14626930,$309.20,$312.71,$302.55
11/14/2022,$299.27,17973400,$290.00,$311.00,$288.19
11/11/2022,$290.13,9573834,$274.47,$290.66,$271.5577
11/10/2022,$274.97,9667323,$265.99,$275.36,$260.0901
11/09/2022,$254.66,7265994,$259.66,$260.90,$254.2202
11/08/2022,$263.46,7683826,$259.92,$266.08,$256.8801
11/07/2022,$258.60,7927033,$261.06,$261.155,$252.09
11/04/2022,$260.79,11124690,$272.02,$274.97,$255.32
11/03/2022,$269.06,7057350,$271.25,$276.29,$268.80
11/02/2022,$273.00,10367620,$286.40,$287.33,$272.84
11/01/2022,$286.75,6916424,$296.17,$299.70,$286.42
10/31/2022,$291.88,7505133,$295.13,$297.6199,$289.50
10/28/2022,$295.72,9960547,$297.70,$301.19,$292.2924
10/27/2022,$296.94,14612590,$298.33,$305.21,$294.78
10/26/2022,$298.62,15749250,$290.04,$305.63,$288.04
10/25/2022,$291.02,15100720,$286.95,$297.59,$285.5501
10/24/2022,$282.45,13326420,$290.23,$290.49,$280.36
10/21/2022,$289.57,24889060,$268.95,$290.75,$265.68
10/20/2022,$268.16,17207100,$272.78,$278.3755,$266.38
10/19/2022,$272.38,46685260,$265.00,$279.30,$262.66
10/18/2022,$240.86,25776730,$249.80,$250.37,$237.73
10/17/2022,$245.10,21057820,$234.41,$249.9221,$234.40
10/14/2022,$230.00,15293400,$237.80,$238.80,$229.51
10/13/2022,$232.51,17505010,$212.69,$234.47,$211.73
10/12/2022,$220.87,12952640,$214.30,$223.67,$212.64
10/11/2022,$214.29,15282410,$226.05,$230.44,$213.70
10/10/2022,$229.98,9991145,$225.64,$233.83,$224.23
10/07/2022,$224.75,9806128,$235.77,$237.33,$224.28
10/06/2022,$240.02,9188940,$236.68,$244.28,$233.9101
10/05/2022,$236.73,10825630,$238.76,$241.59,$227.38
10/04/2022,$240.74,13925850,$244.84,$245.7999,$233.25
10/03/2022,$239.04,8657443,$237.85,$241.54,$232.85
09/30/2022,$235.44,11848610,$237.00,$242.44,$233.26
09/29/2022,$239.71,18994940,$241.61,$246.98,$235.68
09/28/2022,$245.20,17579670,$229.69,$246.65,$227.38
09/27/2022,$224.36,7762223,$228.63,$230.64,$220.72
09/26/2022,$224.07,8234285,$225.60,$232.70,$223.01
09/23/2022,$226.41,11207230,$235.14,$236.4499,$221.43
09/22/2022,$237.05,10017970,$235.35,$240.50,$231.66
09/21/2022,$236.87,9166772,$242.67,$248.2999,$236.68
09/20/2022,$242.85,16037430,$240.37,$250.49,$239.66
09/19/2022,$243.63,17912370,$245.05,$245.25,$235.75
09/16/2022,$240.13,18914180,$231.22,$241.355,$227.83
09/15/2022,$235.38,19454120,$230.47,$242.2871,$229.10
09/14/2022,$224.12,8230340,$219.82,$228.00,$215.80
09/13/2022,$218.13,8000128,$226.50,$227.69,$217.72
09/12/2022,$236.53,6047425,$233.61,$239.49,$233.37
09/09/2022,$233.57,6702060,$229.62,$234.7799,$229.62
09/08/2022,$227.44,6737436,$224.16,$228.735,$221.30
09/07/2022,$228.96,8149329,$220.21,$229.33,$218.2681
09/06/2022,$218.39,7469016,$225.59,$226.85,$214.69
09/02/2022,$226.11,8164883,$231.03,$233.8814,$225.04
09/01/2022,$230.04,7292917,$220.72,$230.37,$219.47
08/31/2022,$223.56,8615906,$227.00,$233.8787,$223.43
08/30/2022,$220.65,5740434,$226.66,$229.79,$218.74
08/29/2022,$224.57,7109397,$221.93,$229.87,$221.52
08/26/2022,$223.28,5349848,$233.625,$236.95,$223.15
08/25/2022,$233.98,3766867,$230.24,$234.16,$229.00
08/24/2022,$229.61,5426316,$225.66,$234.10,$223.94
08/23/2022,$224.55,5276945,$226.46,$229.90,$224.30
08/22/2022,$226.54,8630094,$232.55,$233.475,$224.59
08/19/2022,$241.16,7504707,$240.95,$243.29,$235.68
08/18/2022,$245.17,5280387,$241.96,$246.4794,$239.2801
08/17/2022,$241.15,5627224,$241.18,$244.24,$237.56
08/16/2022,$245.69,5136806,$247.16,$249.29,$244.03
08/15/2022,$249.11,6527391,$248.11,$251.99,$247.51
08/12/2022,$249.30,6098531,$244.81,$249.41,$243.76
08/11/2022,$242.70,8780062,$244.68,$251.62,$241.51
08/10/2022,$244.11,9254760,$236.99,$244.54,$236.5958
08/09/2022,$229.94,6181194,$231.62,$232.1999,$224.65
08/08/2022,$233.49,10997410,$227.49,$241.9599,$226.41
08/05/2022,$226.78,5539733,$225.30,$228.62,$222.87
08/04/2022,$229.91,7142741,$227.68,$232.07,$225.05
08/03/2022,$226.73,6400701,$224.79,$228.10,$222.42
08/02/2022,$221.42,6361327,$222.76,$228.20,$220.88
08/01/2022,$226.21,5525044,$223.095,$228.39,$221.00
07/29/2022,$224.90,9064937,$223.29,$230.75,$222.40
07/28/2022,$226.02,8972738,$224.60,$228.10,$219.67
07/27/2022,$226.75,10508390,$216.48,$227.78,$214.58
07/26/2022,$213.91,9508532,$216.66,$219.39,$211.64
07/25/2022,$218.51,10935250,$221.31,$225.23,$216.35
07/22/2022,$220.44,17805450,$222.38,$229.35,$218.44
07/21/2022,$223.88,23430120,$214.30,$224.32,$211.50
07/20/2022,$216.44,53920270,$208.17,$216.9699,$200.10
07/19/2022,$201.63,28178720,$193.02,$201.97,$188.40
07/18/2022,$190.92,16322850,$192.50,$199.67,$189.80
07/15/2022,$189.11,16319120,$175.58,$189.22,$174.56
07/14/2022,$174.78,9039457,$175.56,$177.52,$171.82
07/13/2022,$176.56,12734420,$170.50,$179.18,$169.702
07/12/2022,$174.45,6845264,$177.33,$179.7839,$173.42
07/11/2022,$177.34,6048447,$184.73,$184.99,$176.89
07/08/2022,$186.975,5835680,$186.02,$189.91,$182.75
07/07/2022,$189.27,6334545,$184.27,$190.21,$183.50
07/06/2022,$184.06,5753385,$185.20,$186.22,$180.82
07/05/2022,$185.88,7339023,$176.28,$185.92,$172.6801
07/01/2022,$179.95,5201583,$176.49,$180.10,$174.27
06/30/2022,$174.87,7894710,$177.07,$179.45,$170.30
06/29/2022,$178.36,5766847,$179.55,$180.665,$175.10
06/28/2022,$179.60,7201897,$189.20,$192.20,$179.37
06/27/2022,$189.14,8363879,$191.77,$191.78,$182.39
06/24/2022,$190.85,12423970,$183.50,$191.19,$181.84
06/23/2022,$181.71,9538226,$180.50,$182.76,$175.87
06/22/2022,$178.89,12010620,$170.75,$182.82,$170.20
06/21/2022,$170.91,12177590,$177.60,$178.6189,$169.80
06/17/2022,$175.51,12133370,$173.63,$179.65,$173.34
06/16/2022,$173.35,8201306,$174.00,$176.27,$171.56
06/15/2022,$180.11,12396040,$169.258,$183.845,$168.53
06/14/2022,$167.54,11555320,$169.75,$172.0622,$164.28
06/13/2022,$169.69,10222410,$177.07,$179.09,$168.9571
06/10/2022,$182.94,13074280,$182.64,$185.86,$180.85
06/09/2022,$192.77,6948967,$200.65,$201.69,$192.54
06/08/2022,$202.83,7244121,$197.95,$207.38,$197.64
06/07/2022,$198.61,4839491,$194.87,$199.60,$193.00
06/06/2022,$197.14,5372043,$202.09,$203.87,$195.38
06/03/2022,$198.98,7191775,$200.14,$202.95,$198.05
06/02/2022,$205.09,9623121,$192.02,$205.47,$191.72
06/01/2022,$192.91,8416151,$198.70,$202.74,$191.6606
05/31/2022,$197.44,11398460,$196.18,$199.95,$190.80
05/27/2022,$195.19,8585987,$193.19,$195.25,$190.3722
05/26/2022,$191.40,8049933,$186.49,$192.3402,$183.0916
05/25/2022,$187.83,8522092,$180.28,$188.87,$180.17
05/24/2022,$180.34,7706372,$182.00,$184.00,$177.17
05/23/2022,$187.44,9602027,$186.15,$187.66,$177.89
05/20/2022,$186.35,10429400,$185.867,$190.19,$179.77
05/19/2022,$183.48,10448510,$178.045,$186.30,$175.71
05/18/2022,$177.19,9665632,$186.72,$187.70,$176.27
05/17/2022,$190.56,9876685,$189.17,$191.40,$185.17
05/16/2022,$186.51,16145010,$193.30,$195.89,$185.70
05/13/2022,$187.64,13136330,$177.16,$187.77,$176.01
05/12/2022,$174.31,17662120,$163.96,$177.58,$162.71
05/11/2022,$166.37,12665520,$176.09,$180.92,$165.55
05/10/2022,$177.66,13883910,$176.01,$181.8712,$170.57
05/09/2022,$173.10,14031330,$177.655,$183.20,$172.30
05/06/2022,$180.97,17185480,$186.75,$187.21,$175.81
05/05/2022,$188.32,13971330,$200.45,$200.71,$186.00
05/04/2022,$204.01,12218780,$197.65,$204.38,$191.01
05/03/2022,$199.87,11839430,$198.29,$203.20,$194.77
05/02/2022,$199.46,14591600,$191.71,$200.2141,$190.01
04/29/2022,$190.36,16391890,$198.68,$204.71,$190.00
04/28/2022,$199.52,21363160,$191.56,$201.48,$185.60
04/27/2022,$188.54,22298390,$194.005,$200.19,$187.77
04/26/2022,$198.40,20318090,$208.80,$209.15,$198.2773
04/25/2022,$209.91,28152050,$213.81,$216.66,$204.51
04/22/2022,$215.52,37515130,$220.18,$226.27,$210.05
04/21/2022,$218.22,53501600,$220.00,$227.68,$211.52
04/20/2022,$226.19,133387500,$245.20,$248.70,$212.51
04/19/2022,$348.61,20906890,$333.22,$351.68,$333.22
04/18/2022,$337.86,5105041,$340.00,$342.36,$331.615
04/14/2022,$341.13,4343837,$350.95,$352.00,$339.86
04/13/2022,$350.43,3230950,$343.92,$352.00,$341.155
04/12/2022,$344.10,3824261,$355.91,$359.41,$342.25
04/11/2022,$348.00,3777096,$350.00,$354.78,$345.20
04/08/2022,$355.88,4025183,$361.96,$362.50,$354.865
04/07/2022,$362.15,4948909,$365.00,$368.54,$353.6897
04/06/2022,$368.35,4354885,$374.15,$376.4699,$362.73
04/05/2022,$380.15,4234508,$389.30,$390.00,$377.305
04/04/2022,$391.50,7009235,$373.55,$396.02,$373.13
04/01/2022,$373.47,4644237,$376.80,$380.87,$368.50
03/31/2022,$374.59,4134720,$383.59,$384.00,$373.61
03/30/2022,$381.47,4023301,$389.55,$392.70,$378.625
03/29/2022,$391.82,5880723,$384.39,$396.50,$380.33
03/28/2022,$378.51,4323435,$375.23,$380.28,$366.73
03/25/2022,$373.85,3575953,$377.07,$377.64,$366.43
03/24/2022,$375.71,3888461,$379.76,$379.76,$368.90
03/23/2022,$374.49,3728954,$379.77,$382.46,$374.49
03/22/2022,$382.92,4242762,$371.14,$386.66,$366.76
03/21/2022,$374.59,4866463,$378.02,$381.82,$368.94
03/18/2022,$380.60,8324825,$372.00,$381.80,$368.47
03/17/2022,$371.40,5818348,$359.70,$373.31,$354.88
03/16/2022,$357.53,6982469,$348.20,$359.99,$343.06
03/15/2022,$343.75,5460640,$335.10,$345.36,$332.36
03/14/2022,$331.01,5907817,$338.72,$341.32,$329.82
03/11/2022,$340.32,4819925,$361.19,$363.36,$340.00
03/10/2022,$356.77,4807767,$356.20,$367.02,$353.30
03/09/2022,$358.79,6520186,$357.685,$364.14,$350.5089
03/08/2022,$341.76,6428655,$349.80,$358.86,$340.67
03/07/2022,$350.26,5708383,$360.41,$361.995,$350.20
03/04/2022,$361.73,5329180,$368.00,$374.8186,$357.17
03/03/2022,$368.07,6076836,$386.00,$386.12,$364.65
03/02/2022,$380.03,5356809,$388.93,$389.22,$375.21
03/01/2022,$386.24,3290439,$391.60,$395.00,$383.705
02/28/2022,$394.52,5035046,$387.33,$397.75,$382.13
02/25/2022,$390.80,4841636,$386.61,$391.29,$375.58
02/24/2022,$390.03,7068724,$355.09,$390.73,$354.72
02/23/2022,$367.46,4614290,$382.72,$386.00,$366.66
02/22/2022,$377.38,6697515,$388.95,$392.42,$373.02
02/18/2022,$391.29,6801668,$392.53,$402.87,$389.0466
02/17/2022,$386.67,4669222,$394.235,$399.11,$385.70
02/16/2022,$398.08,5277650,$401.53,$401.56,$390.3842
02/15/2022,$407.46,5395641,$403.79,$409.1619,$401.01
02/14/2022,$396.57,7202155,$387.59,$409.36,$386.891
02/11/2022,$391.31,7558939,$405.33,$411.6103,$387.65
02/10/2022,$406.27,8452915,$402.10,$408.00,$396.36
02/09/2022,$412.89,7738227,$408.65,$412.98,$398.79
02/08/2022,$403.53,6818543,$398.18,$406.61,$395.83
02/07/2022,$402.10,8232859,$410.17,$412.35,$393.55
02/04/2022,$410.17,7789798,$407.31,$412.77,$396.6391
02/03/2022,$405.60,9905210,$421.44,$429.26,$404.28
02/02/2022,$429.48,14346010,$448.25,$451.98,$426.48
02/01/2022,$457.13,22568100,$432.96,$458.48,$425.5401
01/31/2022,$427.14,20047450,$401.97,$427.70,$398.20
01/28/2022,$384.36,11966610,$386.76,$387.00,$372.08
01/27/2022,$386.70,24324750,$382.06,$394.80,$378.10
01/26/2022,$359.70,12683980,$378.27,$382.66,$356.62
01/25/2022,$366.42,15145820,$379.14,$387.71,$365.13
01/24/2022,$387.15,32386780,$383.91,$387.26,$351.46
01/21/2022,$397.50,58904270,$400.425,$409.1499,$379.99
01/20/2022,$508.25,12658990,$517.75,$526.64,$506.93
01/19/2022,$515.86,4353508,$515.00,$523.21,$510.51
01/18/2022,$510.80,4844418,$520.08,$521.75,$508.68
01/14/2022,$525.69,7861109,$517.60,$538.37,$511.88
01/13/2022,$519.20,4475063,$537.06,$540.79,$518.26
01/12/2022,$537.22,3787372,$544.27,$544.27,$532.02
01/11/2022,$540.84,3077836,$536.99,$543.91,$530.07
01/10/2022,$539.85,4486145,$538.49,$543.69,$526.32
01/07/2022,$541.06,3382873,$549.46,$553.43,$538.2175
01/06/2022,$553.29,5711795,$554.34,$563.36,$542.01
01/05/2022,$567.52,4148749,$592.00,$592.84,$566.88
01/04/2022,$591.15,4393135,$599.91,$600.4099,$581.60
01/03/2022,$597.37,3068808,$605.61,$609.99,$590.56
12/31/2021,$602.44,1995918,$610.01,$614.075,$602.05
12/30/2021,$612.09,1625093,$612.99,$620.61,$611.2401
12/29/2021,$610.54,1287513,$610.71,$613.98,$604.68
12/28/2021,$610.71,1884116,$614.95,$618.41,$609.69
12/27/2021,$613.12,2062233,$615.00,$615.00,$609.25
12/23/2021,$614.09,1621146,$616.40,$616.88,$607.57
12/22/2021,$614.24,2335745,$603.36,$614.82,$602.63
12/21/2021,$604.92,2319390,$597.5434,$607.82,$593.8611
12/20/2021,$593.74,3358404,$586.43,$602.8847,$584.26
12/17/2021,$586.73,4433706,$591.61,$593.25,$581.74
12/16/2021,$591.06,3143217,$597.09,$602.8308,$588.00
12/15/2021,$605.04,2866196,$598.18,$605.69,$584.51
12/14/2021,$597.99,2984536,$598.71,$602.29,$588.13
12/13/2021,$604.56,2517915,$612.00,$612.64,$599.52
12/10/2021,$611.66,2748774,$616.78,$617.74,$605.88
12/09/2021,$611.00,2376321,$627.58,$630.24,$610.44
12/08/2021,$628.08,2220308,$630.00,$632.455,$623.20
12/07/2021,$625.58,3125190,$619.83,$628.89,$611.40
12/06/2021,$612.69,3075672,$606.01,$617.29,$601.00
12/03/2021,$602.13,4829282,$622.75,$625.50,$594.00
12/02/2021,$616.47,3331131,$617.10,$625.36,$612.88
12/01/2021,$617.77,3897019,$649.48,$654.52,$617.07
11/30/2021,$641.90,5608919,$668.198,$675.38,$640.01
11/29/2021,$663.84,2529364,$663.20,$667.99,$658.29
11/26/2021,$665.64,2872513,$675.00,$676.405,$660.67
11/24/2021,$658.29,1867282,$658.01,$661.44,$651.10
11/23/2021,$654.06,2320917,$658.18,$666.43,$646.05
11/22/2021,$659.20,2765318,$676.02,$679.48,$656.47
11/19/2021,$678.80,2614852,$692.35,$694.16,$675.00
11/18/2021,$682.02,2014992,$691.61,$691.74,$679.735
11/17/2021,$691.69,2732831,$690.00,$700.9894,$686.09
11/16/2021,$687.40,2077387,$678.27,$688.3599,$676.90
11/15/2021,$679.33,2872186,$681.235,$685.2599,$671.49
11/12/2021,$682.61,4198410,$660.01,$683.34,$653.82
11/11/2021,$657.58,2868311,$650.24,$665.82,$649.705
11/10/2021,$646.91,2405785,$653.01,$660.3306,$642.11
11/09/2021,$655.99,2415630,$653.70,$660.50,$650.52
